URL ID, Advert Type, Address, Weekly Cost, BubbleOutdoor ID,Full Address
41,Static 6-sheet,Glan Y Mor Rd At Warren Dr Llandudno Junction Llan,£134,BOUK5479095,"Harbour View, Glan-Y-Mor Rd, Llandudno Junction LL31 9RU, UK"
42,Static 6-sheet,Glan Y Mor Rd At Warren Dr Llandudno Junction Llan,£134,BOUK5479096,"Harbour View, Glan-Y-Mor Rd, Llandudno Junction LL31 9RU, UK"
43,Static 6-sheet,Maesdu Ave At Bryngosol Rd Deganwy Llandudno,£134,BOUK5479097,"Hospital Rd, Llandudno LL30 1HU, UK"
44,Static 6-sheet,Maesdu Ave At Bryngosol Rd Deganwy Llandudno,£134,BOUK5479098,"Hospital Rd, Llandudno LL30 1HU, UK"
45,Static 6-sheet,Mostyn St / St Georges Place Town Centre Llandudno,£134,BOUK5480918,"St George's Pl & Mostyn St, Llandudno LL30 2SF, UK"
46,Static 6-sheet,Mostyn St / St Georges Place Town Centre Llandudno,£134,BOUK5480919,"St George's Pl & Mostyn St, Llandudno LL30 2SF, UK"
47,Static 6-sheet,Gloddaeth St o/s 10 Town Centre Llandudno,£134,BOUK5486285,"Gloddaeth St, Llandudno LL30, UK"
48,Static 6-sheet,Gloddaeth St o/s 10 Town Centre Llandudno,£134,BOUK5486286,"Gloddaeth St, Llandudno LL30, UK"
49,Static 6-sheet,Gloddaeth Street o/s 4 Town Centre Llandudno,£134,BOUK5486287,"Gloddaeth St, Llandudno LL30, UK"
50,Static 6-sheet,Gloddaeth Street o/s 4 Town Centre Llandudno,£134,BOUK5486288,"Gloddaeth St, Llandudno LL30, UK"
51,Static 6-sheet,Mostyn St Opp Marks &amp; Spencer Town Centre Llandudn,£134,BOUK54146427,"61 Mostyn St, Llandudno LL30 2NW, UK"
52,Static 6-sheet,Mostyn St Opp Marks &amp; Spencer Town Centre Llandudn,£134,BOUK54146428,"61 Mostyn St, Llandudno LL30 2NW, UK"
53,Static 6-sheet,Back Hilton Rd Nr Cattofield Pl Aberdeen,£134,BOUK5438238,"Back Hilton Rd, Aberdeen, UK"
54,Static 6-sheet,Back Hilton Rd Nr Cattofield Pl Aberdeen,£134,BOUK5438239,"Back Hilton Rd, Aberdeen, UK"
55,Static 6-sheet,o/s 190 Hilton Dr Nr Western Rd Aberdeen,£134,BOUK5438240,"s, 190 Hilton Dr, Aberdeen AB24 4LY, UK"
56,Static 6-sheet,o/s 190 Hilton Dr Nr Western Rd Aberdeen,£134,BOUK5438241,"s, 190 Hilton Dr, Aberdeen AB24 4LY, UK"
57,Static 6-sheet,Girdleness Rd Nr Gregness Gdens Aberdeen,£134,BOUK5438244,"Aberdeen, UK"
58,Static 6-sheet,Girdleness Rd Nr Gregness Gdens Aberdeen,£134,BOUK5438245,"Aberdeen, UK"
59,Static 6-sheet,Opp 27 Powis Terr Nr Erskine Street Aberdeen,£134,BOUK5438248,"27 Powis Terrace, Aberdeen AB25 3PP, UK"
60,Static 6-sheet,Opp 27 Powis Terr Nr Erskine Street Aberdeen,£134,BOUK5438249,"27 Powis Terrace, Aberdeen AB25 3PP, UK"
61,Static 6-sheet,King St Opp Lord Hays Rd Aberdeen,£134,BOUK5438251,"Hays Rd, Aberdeen, MD 21001, USA"
62,Static 6-sheet,Cairncry Rd  Nr Plane Tree Rd Aberdeen,£134,BOUK5438254,"Cairncry Rd, Aberdeen AB16, UK"
63,Static 6-sheet,Cairncry Rd  Nr Plane Tree Rd Aberdeen,£134,BOUK5438255,"Cairncry Rd, Aberdeen AB16, UK"
64,Static 6-sheet,o/s 644 Holborn St Nr S Anderson Dr Aberdeen,£134,BOUK5438263,"Anderson Dr, Aberdeen, WA 98520, USA"
